network,pool_address,date,open,high,low,close,volume
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-10,2.6029440704744e-05,2.68258642396444e-05,2.53084217194432e-05,2.64416517301074e-05,152.800383712514
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-09,2.40752896391295e-05,2.67844994963832e-05,2.38388665809149e-05,2.6029440704744e-05,397.20337717241
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-08,2.10452521524417e-05,2.51417693335666e-05,1.98928225570327e-05,2.40752896391295e-05,297.927406440772
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-07,2.30627785257377e-05,2.30627785257377e-05,2.10452521524417e-05,2.10452521524417e-05,181.726752208979
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-06,2.18013924847035e-05,2.42233606698645e-05,2.13453386461378e-05,2.30627785257377e-05,293.494182456374
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-05,2.07307014017511e-05,2.29930127396579e-05,1.82948838129238e-05,2.18013924847035e-05,462.905827787133
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-04,2.24999963875254e-05,2.27187320671601e-05,2.05930001932992e-05,2.07307014017511e-05,430.336359461762
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-03,2.54561808471198e-05,2.56699272749041e-05,2.16524059358856e-05,2.24999963875254e-05,301.32760744241
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-02,2.97720845564819e-05,2.97720845564819e-05,2.48091747174968e-05,2.54561808471198e-05,777.328071435169
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-01,2.25064554057034e-05,2.97720845564819e-05,2.25064554057034e-05,2.97720845564819e-05,524.248446285422
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-06-30,2.22987174450666e-05,2.31057547160033e-05,2.15201975387215e-05,2.25064554057034e-05,200.660589723412
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-06-29,2.26244184123889e-05,2.4779835479303e-05,2.19478403919922e-05,2.22987174450666e-05,120.367781922184
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-06-28,2.47404357209469e-05,2.48530207870283e-05,2.23818123268535e-05,2.26244184123889e-05,147.249310907818
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-06-27,2.2116631513432e-05,2.47404357209469e-05,2.14964148557377e-05,2.47404357209469e-05,292.445827010014
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-06-26,2.31919343867965e-05,2.39980668148378e-05,2.19436788538612e-05,2.2116631513432e-05,116.491620109301
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-06-25,2.18856857385106e-05,2.43814012919707e-05,2.16540396964862e-05,2.31919343867965e-05,282.408564667335
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-06-24,1.99442528120203e-05,2.18856857385106e-05,1.86505852040784e-05,2.18856857385106e-05,173.017569631287
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-06-23,2.06074282870585e-05,2.14117585597724e-05,1.99442528120203e-05,1.99442528120203e-05,103.196827402686
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-06-22,2.02713478454202e-05,2.12010467149921e-05,1.99384994297206e-05,2.06074282870585e-05,159.218268250395
